"lookup_event_id";"event_name";"image_name";"image_stored_at";"description";"createdAt";"updatedAt"
1;"Vikings";"vikings";"/images/pref_imgs/vikings.png";"The best in mid-west";"2018-07-05 20:42:45";"2018-07-05 20:42:45"
2;"United";"united";"/images/pref_imgs/united.png";"The Team UNITED";"2018-07-05 20:43:26";"2018-07-05 20:43:26"
3;"Saints";"saints";"/images/pref_imgs/saints.png";"The team Saints";"2018-07-05 20:43:26";"2018-07-05 20:43:26"
4;"Lynx";"lynx";"/images/pref_imgs/lynx.png";"The team Lynx";"2018-07-05 20:43:26";"2018-07-05 20:43:26"
5;"Gophers";"gophers";"/images/pref_imgs/gophers.png";"The Team Gophers";"2018-07-05 20:43:26";"2018-07-05 20:43:26"
7;"Twins";"twins";"/images/pref_imgs/twins.png";"The baseball team in twin cities";"2018-07-05 20:44:57";"2018-07-05 20:44:57"
8;"Timberwolves";"timberwolves";"/images/pref_imgs/wolves.png";"The best in mid-west";"2018-07-05 20:44:57";"2018-07-05 20:44:57"
9;"Wilds";"wild";"/images/pref_imgs/wild.png";"The team wild";"2018-07-05 20:44:57";"2018-07-05 20:44:57"
